mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-miR-153-3p	1,156740048745696	1,5092538383154286	1,3246620110805423	1,139350132857145	0,25455714619844144	1	1	1	1
hsa-miR-153-5p	3,6842687462224784	0,503650100954128	0,6549603025718824	0,7689780571072885	0,4419063369565256	1	1	1	1
hsa-miR-191-5p	917,9300431309541	-0,06530917159929252	0,1105348980203473	-0,5908466264407317	0,554623190596178	1	1	1	1
hsa-miR-125a-5p	740,3762323409285	-0,07007009896901266	0,21175048578083322	-0,3309087991492821	0,740713375306467	1	1	1	1
hsa-miR-125a-3p	7,912502561388521	-0,08554759138081974	0,38708151964524373	-0,22100665373852835	0,8250872521429516	1	1	1	1
hsa-miR-125b-2-3p	0,5654495165397497	-0,42745486722005793	1,4906264330075576	-0,28676189939662144	0,774294638084104	1	1	1	1
hsa-miR-126-5p	3,338386594052444	0,46344342526832155	0,6839875536366119	0,6775611965514495	0,498049956285969	1	1	1	1
hsa-miR-126-3p	10,236739305607164	0,05354205347041275	0,4315395084690829	0,1240721936685635	0,9012581142537182	1	1	1	1
hsa-miR-127-5p	1,3402046533803085	0,8997366718317018	1,1537422672902269	0,7798419953399962	0,435483884034675	1	1	1	1
hsa-miR-127-3p	289,024322931184	-0,19154899854916407	0,29127378056145836	-0,6576252698747374	0,5107789526589972	1	1	1	1
hsa-miR-134-5p	6,262877143837165	-0,41596598552887254	0,5483689029970028	-0,75855137527947325	0,44812096932038226	1	1	1	1
hsa-miR-138-1-3p	0,3476223395235294	-1,6157167602352533	2,9515118929547617	-0,54742004058732	0,584090190143925	1	1	1	1
hsa-miR-146a-5p	220,58886117884447	-0,04425874816581755	0,22325291206713962	-0,19824488628621992	0,8428534701502879	1	1	1	1
hsa-miR-149-5p	31,67356598616891	-0,5282741023174264	0,27352715131126926	-1,931340635783025	0,053440941244346014	1	1	1	1
hsa-miR-150-5p	1,8235773586967612	0,07696345363927272	1,02200137420398	0,0753066048460241	0,9399707664999998	1	1	1	1
hsa-miR-154-5p	4,278714263310148	-0,4456936683991811	0,813193817650847	-0,5480780334591085	0,5836383229901452	1	1	1	1
hsa-miR-185-5p	29,879282999863573	-0,03485289426039098	0,2494299071196508	-0,13973021384188766	0,8888731533939968	1	1	1	1
hsa-miR-185-3p	0,3426508364750752	-0,9935084573628299	2,0777419568244584	-0,47816739422313553	0,6325310675391727	1	1	1	1
hsa-miR-186-5p	23,95856359101422	-0,16681244385477453	0,26549815623595024	-0,628299820306575	0,5298075493338563	1	1	1	1
hsa-miR-188-5p	0,7630036144446611	-0,5172473730895499	1,4865405533038107	-0,34795375877232315	0,7278749111536383	1	1	1	1
hsa-miR-190a-5p	16,786541465052938	0,01747634412598998	0,31428447810657645	0,055606768209735154	0,9556550725980859	1	1	1	1
hsa-miR-193a-5p	1,6322605367465524	1,650158844254995	0,9709563486170645	1,6995190840508128	0,08922142190417412	1	1	1	1
