mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-330-3p	27.256444914217244	-0.5498321700746157	0.32555030351174047	-1.688931523465119	0.09123255335734083	1
hsa-miR-328-3p	6.831059861927636	0.4947042707065116	0.6110239765454378	0.8096315197047323	0.41815198689840416	1
hsa-miR-342-5p	1.1228341277125387	0.09582457086365526	1.3715466405896177	0.0698660680051398	0.944300260917136	1
hsa-miR-342-3p	820.8984022081614	-0.1634619701451412	0.319769912631701	-0.5111862113600742	0.6092206729040512	1
hsa-miR-151a-5p	18.690368786324346	-0.1000077851283909	0.26102894843921826	-0.3831290963181356	0.701624046858903	1
hsa-miR-151a-3p	57.1394474368345	0.06731019195256004	0.16629957998772316	0.4047526275023011	0.6856593535528457	1
hsa-miR-135b-5p	6.873589208766111	0.4537992264292788	0.5799063885074497	0.7825387604321057	0.4338980154397104	1
hsa-miR-135b-3p	2.128404404163299	-0.593245802706755	0.9135802363864365	-0.6493636563913333	0.5161033493978509	1
hsa-miR-148b-3p	33.56724627343747	-0.1604771654516323	0.24192848010621332	-0.6633248197201849	0.5071225439483089	1
hsa-miR-331-5p	39.14405666861518	0.07182395846186049	0.4052462430889845	0.17723534687054282	0.859323532351277	1
hsa-miR-331-3p	0.5232511081018993	1.520546801952527	1.7381590046165383	0.8748030519152535	0.3816810763601526	1
hsa-miR-324-5p	25.19606191478241	-0.16828454978847965	0.30154191321244106	-0.5580801288805265	0.5767896690202603	1
hsa-miR-324-3p	3.4306339811549384	-0.9423909251435463	0.5535163318290494	-1.7025530611346058	0.08865174058220555	1
hsa-miR-338-5p	0.4200895613992015	-0.7592654361648221	2.091479666416995	-0.3630278832524118	0.7165840553478284	1
hsa-miR-338-3p	10.553775222985749	0.40682537544472747	0.4357674683539904	0.9335836311540535	0.3505187121602628	1
hsa-miR-339-5p	268.2064581979318	0.10881696106712124	0.17820657491277456	0.6106225941460525	0.5414494612566035	1
hsa-miR-339-3p	9.288163416752216	0.21675283212089638	0.3971987765562368	0.5457036751224931	0.5852696452794424	1
hsa-miR-335-5p	10.656733236026048	0.5975703265134116	0.3946707716532789	1.514098254629257	0.13000092128590937	1
hsa-miR-335-3p	11.313971042040682	0.2312142301837439	0.385857771667462	0.5992213897482614	0.5490252608576975	1
hsa-miR-133b	21.842399474047642	-1.3895880254950177	1.4570675468886511	-0.9536881309739375	0.3402415298732034	1
hsa-miR-345-5p	4.091814841933071	-0.19084802573967408	0.5716480046609975	-0.33385584167804805	0.7384883429519831	1
hsa-miR-346	0.5537891337473414	0.707508255363453	1.7335676063768102	0.40812267878156705	0.6831836108573092	1
hsa-miR-196b-5p	22.994838840484594	0.15757320629330063	0.24608792122347492	0.6403126391165165	0.5219693653640496	1
hsa-miR-423-5p	108.11614439898007	0.012278898768644823	0.16231585229602366	0.07564817973694382	0.939699004365269	1
hsa-miR-423-3p	63.876849739372595	-0.20532403396026008	0.15754839521799852	-1.3032442106195672	0.19249140093939954	1
hsa-miR-424-5p	5.280041263572246	-0.1778649798358578	0.5297025776279887	-0.33578273421348687	0.7370347110971891	1
hsa-miR-425-5p	2121.228603396747	-0.020894447018273796	0.08830760149224573	-0.23660983499940866	0.8129594896125278	1
hsa-miR-425-3p	5.048850449136927	-0.2646384552121393	0.5173358605289065	-0.5115409067942478	0.6089723520222534	1
hsa-miR-18b-5p	0.5056024734377287	-0.536861022895052	1.8909200900978502	-0.2839152356074819	0.7764753404180267	1
hsa-miR-20b-5p	0.7315985140290141	1.2778532408134593	1.27700459970644	1.000664556029958	0.3169890085174736	1
hsa-miR-429	1.0358848076029028	-1.0671007123083562	1.9029154838240805	-0.5607714695578182	0.574953338514389	1
hsa-miR-449a	4.135542150497711	0.8834157470545224	0.6597916857243193	1.33893131145584	0.1805930352076109	1
hsa-miR-431-5p	0.46220508804868243	0.1627456693402689	1.9779393135410388	0.08228041589855999	0.9344237274569265	1
hsa-miR-431-3p	0.3427366614921253	-1.9537836098722758	1.841564703821406	-1.0609367163792864	0.28871866182488815	1
hsa-miR-433-3p	3.934683348039624	-0.7340168753968794	0.6785436254083758	-1.0817534023035256	0.2793621170881301	1
hsa-miR-329-5p	2.6137345753238708	0.22373026159109188	0.7253565530994323	0.3084417734079847	0.7577461997533032	1
hsa-miR-451a	243.01892006307216	0.7815444351467734	0.46002566456136856	1.6989148548743924	0.08933522765768877	1
hsa-miR-452-5p	61.01380428877087	-0.2349159322043942	0.18217868009324728	-1.2894809210614195	0.19723094498601196	1
hsa-miR-409-5p	4.4783094561118055	0.1445807046176382	0.7225569623041227	0.20009592621818026	0.8414055593480066	1
hsa-miR-409-3p	7.319787018121105	-0.11036805448188311	0.5668295926775212	-0.1947111722952569	0.8456190650877503	1
hsa-miR-483-3p	0.2893568689486077	0	4.889019215134339	0	1	1
hsa-miR-484	44.2594814209849	0.10110898822657263	0.19590737605745026	0.5161060816664821	0.6057803205568485	1
hsa-miR-485-5p	1.0252386322924198	-0.08835927338685916	1.217224922187748	-0.07259075276576565	0.9421317855309281	1
hsa-miR-485-3p	1.4376784998948782	1.7854381752473918	1.207038404899166	1.4791892022661401	0.1390897546037565	1
hsa-miR-486-5p	206.6041151524973	0.23384076662731312	0.26704045431466195	0.8756754373693935	0.3812065020879682	1
hsa-miR-486-3p	2.209216734540714	-0.5113820519728277	0.9149243086042766	-0.5589337250782467	0.5762069518862115	1
hsa-miR-489-3p	1.3097621684056937	-0.387258521255082	1.1025195392927734	-0.3512486694825331	0.7254018002956929	1
hsa-miR-491-5p	1.94272186159616	-1.0774730183360097	0.9486929410173665	-1.1357447407382848	0.25606340996339416	1
hsa-miR-146b-5p	600.9027743894651	-0.23381143905465374	0.26244694235085886	-0.8908903146681625	0.3729880167517721	1
hsa-miR-146b-3p	0.2974000186780698	0.6436424923025602	2.67501073199452	0.24061305048397047	0.8098550344882569	1
hsa-miR-492	0.9789029647821249	1.10357694123968	1.1182883478582903	0.9868447108057729	0.32371877221599177	1
hsa-miR-494-3p	5.536055463058128	-0.14802921699697713	0.6710708325358906	-0.22058657569364729	0.8254143546447665	1
hsa-miR-495-3p	1.6188022465969152	0.6538494011368241	1.065854409939888	0.6134509507482359	0.5395782054299565	1
hsa-miR-193b-5p	0.5869095691155232	2.0267123016593795	1.9835562877357105	1.0217568889728523	0.30689597828889875	1
hsa-miR-193b-3p	28.378227122084056	-0.43618086280502566	0.36895300808568876	-1.1822125128296104	0.2371213889252173	1
hsa-miR-497-5p	4.283036204045512	0.13799318694972085	0.6038960719246029	0.22850485930458153	0.8192537788673424	1
hsa-miR-181d-5p	13.53005811247649	-0.44943443996901883	0.4807262557256902	-0.9349072047054426	0.34983612380214113	1
hsa-miR-519b-3p	1.0094080228869216	2.0414177037131145	1.424477679415134	1.4330991164082583	0.1518295139282796	1
hsa-miR-499a-5p	0.5464065823287838	2.2770690444883477	1.780396355197922	1.2789674826284465	0.20090850696413373	1
hsa-miR-500a-5p	33.862985521070094	0.05188900181062878	0.21862818448855773	0.23733903262296213	0.8123937833520178	1
hsa-miR-500a-3p	7.899262502401357	0.14341864733056411	0.476195580016753	0.30117593137995635	0.7632803422264878	1
hsa-miR-501-5p	23.82460963222035	0.08643353528607581	0.4303487761176069	0.20084531450475188	0.8408195289594071	1
hsa-miR-501-3p	3.613820501042131	0.6196908014252616	0.8109466640371017	0.7641572854375908	0.44477351780260355	1
hsa-miR-502-5p	4.554779486963475	-0.2510773114651288	0.5693096864399096	-0.44102062101771367	0.6591980684587422	1
hsa-miR-502-3p	7.229263921040215	0.143688421905592	0.5152022416027443	0.27889712098027997	0.7803237780401979	1
hsa-miR-503-5p	11.006863040668325	-0.46353139406561605	0.5062468148173633	-0.9156233293691782	0.3598644908562469	1
hsa-miR-503-3p	0.7333586351658351	-0.2808753785631506	1.6128716060996497	-0.17414614870825432	0.8617506058386836	1
hsa-miR-505-5p	1.9968055187789604	-0.003423313053233992	0.8845937401490556	-0.0038699268351787774	0.9969122528339648	1
hsa-miR-505-3p	2.3218701825544263	0.282541085868115	0.7498404453491372	0.37680160842292193	0.7063210453503901	1
hsa-miR-532-5p	9.02552349984802	0.039413405985513184	0.36491681982027013	0.10800654791665998	0.913990498111296	1
hsa-miR-532-3p	1.5494270589389332	-0.1913644501909419	0.9422379666182941	-0.2030956690036082	0.8390602568240721	1
hsa-miR-455-5p	2.1336405018722875	1.365290926816862	1.0322741320925761	1.3226049983924428	0.18596677115039845	1
hsa-miR-455-3p	2.859206797154256	0.15682881347400018	0.7782497550981514	0.20151476109905261	0.8402960884843891	1
